lista funzioni
MyMain                                          called by 0 funz.  	 calls 3 funz.
PROVAbind_go_passToJs_thisWordRowList           called by 0 funz.  	 calls 3 funz.
TOGLIfromLemmaTo3List                           called by 0 funz.  	 calls 1 funz.
addToCurrentLemmaPair                           called by 0 funz.  	 calls 2 funz.
bind_go_passToJs_betweenLemmaList_V4            called by 0 funz.  	 calls 6 funz.
bind_go_passToJs_getWordByIndex                 called by 0 funz.  	 calls 1 funz.
bind_go_passToJs_suffixWordList                 called by 0 funz.  	 calls 4 funz.
go_exec_js_functionX                            called by 0 funz.  	 calls 1 funz.
isNumber                                        called by 0 funz.  	 non chiama nessuno
lemmaSliceUpdateSubLemma                        called by 0 funz.  	 calls 1 funz.
lookForAllTran                                  called by 0 funz.  	 calls 2 funz.
provaInverseWord                                called by 0 funz.  	 calls 1 funz.
prtFloat1                                       called by 0 funz.  	 non chiama nessuno
putFileError                                    called by 0 funz.  	 non chiama nessuno
showInfoRead                                    called by 0 funz.  	 calls 1 funz.
stat_level                                      called by 0 funz.  	 non chiama nessuno
stat_useWord                                    called by 0 funz.  	 calls 2 funz.
testGenericWord                                 called by 0 funz.  	 calls 1 funz.
testInverseLemma                                called by 0 funz.  	 calls 1 funz.
------------------------
scritto dal programma xrefManyFile.go
-------------------------
